id,question_id,name,is_correct
1,1,"After 1 year of service, employees are eligible for 5 days of PTO. ",1
2,1,"After 6 months, employees earn 5 days of PTO. ",0
3,1,PTO is immediately accessible after hiring. ,0
4,1,There is no PTO offered. ,0
5,2,"After 2 years of service, employees are eligible for 5 sick days. ",1
6,2,"After 3 months, employees earn 5 sick days. ",0
7,2,Paid sick time is immediately available to employees. ,0
8,2,There is no sick time offered. ,0
9,3,"No, you cannot use PTO to cover sick days. ",1
10,3,"Sick days require a doctor's note; therefore, PTO can be used on sick time as long as there is a doctor's note provided. ",0
11,3,"PTO can be used for personal time; therefore, PTO can be used to cover any instance as long as it is available. ",0
12,3,PTO is sometimes paid using special forms of compensation. ,0
13,4,PTO is paid at employees base pay rate at the time of absense. ,1
14,4,Hourly workers are paid according the average number of hours worked. ,1
15,4,PTO is never paid using special forms of compensation like bonuses. ,1
16,4,"PTO is never used to cover accidents and illnesses that fall under Worker's Compensation Insurance, pursuant to the requirements of Michigan law. ",1
17,5,"As soon as possible, but particularly during January following HR's yearly reminder to submit PTO to ensure approval of your requested dates. ",1
18,5,Two weeks before your requested time off. ,0
19,5,Whenever you remember you are eligible for PTO. ,0
20,5,The day before you would like to use your PTO. ,0
21,6,"Request a Time Off Request form from HR, fill out the form in its entirety, return it to HR, and await approval. ",1
22,6,Send HR an email asking for time off. ,0
23,6,Send your supervisor a text message and ask if you can have the day off. ,0
24,6,Text your coworker and ask them to tell your supervisor that you will not be at work. ,0
25,7,"You must give two weeks notice. If it is an emergency, please inform your supervisors and make your request ASAP. ",1
26,7,No notice is necessary and all time off requests are automatically approved. ,0
27,7,You do not need to submit a request ahead of time to take off work. ,0
28,7,"There is no one depending on me to show up, so advance notice is not required. ",0
29,8,"When your time off request has been approved, HR will return the form to you, signed and dated by the supervisor who approved your time off.  ",1
30,8,"Once you have submitted the completed form, you are approved. ",0
31,8,Verbal approval from a supervisor or HR represenative is sufficient. ,0
33,8,There is no approval process for single day time off requests. ,0
34,9,No. Time Off Requests submitted with less than 2 weeks notice will be automatically denied. ,1
35,9,Yes because Time Off Requests cannot be denied. ,0
36,9,Yes because Time Off Requests do not require processing by HR and plant management. ,0
37,9,"Since I am close friends with my coworkers, I am excempt from company policy. ",0
38,10,Steve's Mediterranean has a disciplinary process that holds employees accountable for knowingly breaking company policy. This can mean suspension or termination. ,1
39,10,Nothing happens when I take time off without approval. ,0
40,10,"Refusing to call in an absense or otherwise notify HR of my absense is no big deal, and I should not be concerned if I have a poor attendance record. ",0
41,10,I will be fired immediately if I do not show up to work. ,0
42,11,Non-slip shoes ,0
43,11,"Hair and beard restraints at all times, and frocks when processing food ",1
44,11,Steve's Mediterranean custom uniforms ,0
45,11,"Jewelry, press-on nails, necklaces ",0
46,12,The risk is in these accessories touching or falling into the food. It poses a physical hazard (i.e. earring in the food) and a biological hazard (i.e. bacteria from items transfering into the food). ,1
47,12,"There is no risk, and I do not need to ensure jewelry or other dangling items on my person are secure or removed. ",0
48,12,The risk is in losing something precious or expensive. ,0
49,12,The risk is limited so I should not be concerned. ,0
50,13,Tobacco use is STRICTLY PROHIBITED anywhere inside the facility and within 50 ft of the building. ,1
51,13,"Tobacco use is limited, but allowed in some instances. ",0
52,13,Tobacco use is not limited. ,0
53,13,Steve's Mediterranean is not concerned about where or when you smoke tobacco. ,0
54,14,"Yes, the GMPs state no use of gum in the facility and no food in the facility. Eating and drinking can only be done in the break room or offices. ",1
55,14,"No, chewing gum while in the production area is not regulated by the GMPs. ",0
56,14,"No, food and drink while in the production area is not regulated by the GMPs. ",0
57,14,Steve's Mediterranean is not concerned about where or when you eat food or chew gum. ,0
58,15,"Report any illness due to Salmonella, Shigella, E-Coli, Hepatitis A or norovirus or ANY OTHER food borne illness to Management immediately, particularly if there is a concern that you exposed others in the facility or the food. ",1
59,15,"If you have symptoms of any illness, we respectfully ask you to go to an urgent care or your physician for an evaluation or diagnosis to report to HR. Either the employee, a  doctor, or the administration at Steve's will determine that the employee is too sick to be at work. Because illness can be so debilitating, we ask that everyone maintain a high level of personal hygeine and self-awareness to prevent Steve's facility from becoming a hot spot for contagions. This concern is for the health and well-being of everyone who comes through the building as  well as our customers. ",1
60,15,You do not need to inform Steve's Mediterranean if you are infected with a foodborne illness. ,0
61,15,"Since illness is a personal issue, as long as you do not show up to work with symptoms, you do not need to report your illness to Steve's. ",0
62,16,Food storage containers or racks must be covered or stored away during cleaning and sanitation processes.  You should think about whether something used to hold or process food could have residue of chemicals and sanitizer before food product is placed in the container. Rinsing off a container is an easy step we can take in instances where we are unsure of how clean something is. ,1
63,16,"We should not be concerned about protecting food storage containers, racks and anything that will touch the food. ",0
