id,name,description
1,PTO,Basics of PTO policy 
2,Time Off,Time Off Request Policy v 11.30.2021
3,GMP,Basics of Good Manufacturing Practices 
4,Call Offs,How to call off 
5,Attendance ,New Employee Attendance Policy v 2022.05.11
6,Health Insurance,Basics of Health Insurance 
7,Holidays & Blocked Dates ,Focus on days Steve's is closed or super busy 
8,Standards of Conduct ,Section 6.1 of the Handbook 
9,Personal Appearance ,Section 6.4 of the Handbook 
10,In-case of Injury,Basics of what to do during an Injury At Work
11,Time Keeping,How to track your hours. 
12,Pay days ,Basics of how pay is handled at Steve's 
13,COVID-19 ,Basics of Covid-19 policy Section 8 of the Handbook 
